number_red_lights,time_out,number_green_lights,end_point,exp_id,final_distance,end_pedestrian_collision,end_vehicle_collision,initial_distance,start_point,end_other_collision,final_time,weather,result,rep
1,222.9328,0,66,0,231.93745705576706,0,0,137.254028561033,19,0,222.9328,12,0,0
0,178.5718,0,14,0,142.70217531984903,0,0,148.2770446042084,79,1,178.5718,12,0,0
0,261.379,0,57,0,90.60991725175472,0,0,82.44995740175352,19,1,261.379,12,0,0
0,57.3184,0,1,0,83.94214930512567,0,0,91.35899511614316,23,0,57.3184,12,0,0
1,140.12560000000002,0,76,0,139.85518335946657,0,0,54.57222770489836,53,1,140.12560000000002,12,0,0
0,98.72200000000001,0,13,0,56.386520130151276,0,0,55.22654732886089,42,0,98.72200000000001,12,0,0
0,231.805,0,71,0,75.73408565452348,0,0,89.46937661816371,31,0,231.805,12,0,0
0,42.531400000000005,0,5,0,57.068303458306836,0,0,78.86738987016133,33,1,42.531400000000005,12,0,0
0,134.21079999999998,0,30,0,130.81122145632128,0,0,140.39951902339527,54,1,134.21079999999998,12,0,0
0,148.9978,0,61,0,94.95101335150548,0,0,87.3809326382538,10,1,148.9978,12,0,0
0,163.7848,0,3,0,107.54187475215485,0,0,120.57284625033812,66,1,163.7848,12,0,0
0,143.083,0,12,0,153.80215384223393,0,0,171.27173311587896,27,1,143.083,12,0,0
0,98.72200000000001,0,19,0,188.96164269211278,0,0,188.96175492743774,79,0,98.72200000000001,12,0,0
1,92.80720000000001,0,29,0,139.6033174741131,0,0,139.57549782236657,2,1,92.80720000000001,12,0,0
1,143.083,0,14,0,86.96246314196918,0,0,146.29400936669782,16,1,143.083,12,0,0
0,131.2534,0,57,0,152.87160149523044,0,0,159.582572624905,5,1,131.2534,12,0,0
0,199.2736,0,73,0,45.421055141328445,0,0,29.099990844726562,70,1,199.2736,12,0,0
0,184.48659999999998,1,67,0,228.921556896731,0,0,216.58716977283558,46,1,184.48659999999998,12,0,0
1,86.8924,0,50,0,92.57162563167599,0,0,185.6375465647319,57,1,86.8924,12,0,0
0,151.95520000000002,0,49,0,194.3741107203896,0,0,182.8779433458175,61,1,151.95520000000002,12,0,0
0,86.8924,0,12,0,101.2841004904462,0,0,104.84421169526482,21,1,86.8924,12,0,0
1,140.12560000000002,0,81,0,182.25369273541307,0,0,256.9135130660495,51,1,140.12560000000002,12,0,0
1,72.10539999999999,0,68,0,115.67094681114078,0,0,172.33000946044922,77,1,72.10539999999999,12,0,0
0,51.403600000000004,0,65,0,96.86585194552384,0,0,110.26999855042455,56,1,51.403600000000004,12,0,0
0,113.50899999999999,0,54,0,144.97554619698903,0,0,197.4142280923546,43,0,113.50899999999999,12,0,0
1,222.9328,0,66,0,217.25804741890366,0,0,137.254028561033,19,0,222.9328,13,0,0
1,178.5718,0,14,0,110.4270861879168,0,0,148.2770446042084,79,1,178.5718,13,0,0
1,261.379,0,57,0,196.5012881594907,0,0,82.44995740175352,19,1,261.379,13,0,0
1,57.3184,0,1,0,45.87134784775359,0,0,91.35899511614316,23,0,57.3184,13,0,0
1,140.12560000000002,0,76,0,134.90483437221894,0,0,54.57222770489836,53,1,140.12560000000002,13,0,0
0,98.72200000000001,0,13,0,56.203970605581375,0,0,55.22654732886089,42,1,98.72200000000001,13,0,0
0,231.805,0,71,0,80.32293388791936,0,0,89.46937661816371,31,1,231.805,13,0,0
0,42.531400000000005,0,5,0,22.04426950270346,0,0,78.86738987016133,33,1,42.531400000000005,13,0,0
0,134.21079999999998,0,30,0,108.82223419842751,0,0,140.39951902339527,54,1,134.21079999999998,13,0,0
0,148.9978,0,61,0,97.50326885578352,0,0,87.3809326382538,10,1,148.9978,13,0,0
0,163.7848,0,3,0,107.54187475215485,0,0,120.57284625033812,66,1,163.7848,13,0,0
2,143.083,0,12,0,110.52913970807299,0,0,171.27173311587896,27,1,143.083,13,0,0
0,98.72200000000001,0,19,0,181.32246736198186,0,0,188.96175492743774,79,1,98.72200000000001,13,0,0
0,92.80720000000001,0,29,0,136.96184077465983,0,0,139.57549782236657,2,1,92.80720000000001,13,0,0
2,143.083,0,14,0,88.98831419326989,0,0,146.29400936669782,16,1,143.083,13,0,0
1,131.2534,0,57,0,147.78441476224148,0,0,159.582572624905,5,1,131.2534,13,0,0
0,199.2736,0,73,0,48.57334860038897,0,0,29.099990844726562,70,1,199.2736,13,0,0
0,184.48659999999998,1,67,0,223.88032811230028,0,0,216.58716977283558,46,1,184.48659999999998,13,0,0
0,86.8924,0,50,0,127.88497297097152,0,0,185.6375465647319,57,1,86.8924,13,0,0
0,151.95520000000002,0,49,0,198.95544837164778,0,0,182.8779433458175,61,1,151.95520000000002,13,0,0
0,86.8924,0,12,0,101.97554189375535,0,0,104.84421169526482,21,0,86.8924,13,0,0
0,140.12560000000002,0,81,0,191.12098515507745,0,0,256.9135130660495,51,0,140.12560000000002,13,0,0
1,72.10539999999999,0,68,0,31.791046878168558,0,0,172.33000946044922,77,1,72.10539999999999,13,0,0
0,51.403600000000004,0,65,0,90.86794079531687,0,0,110.26999855042455,56,1,51.403600000000004,13,0,0
0,113.50899999999999,0,54,0,182.5361895756669,0,0,197.4142280923546,43,1,113.50899999999999,13,0,0
1,222.9328,0,66,0,174.0976736810687,0,0,137.254028561033,19,1,222.9328,14,0,0
2,178.5718,0,14,0,105.56869117714872,0,0,148.2770446042084,79,1,178.5718,14,0,0
3,261.379,1,57,0,93.07907500562277,0,0,82.44995740175352,19,1,261.379,14,0,0
2,57.3184,0,1,0,1.617823001128608,0,0,91.35899511614316,23,0,23.9,14,1,0
1,140.12560000000002,0,76,0,132.8931799316996,0,0,54.57222770489836,53,1,140.12560000000002,14,0,0
2,98.72200000000001,0,13,0,59.88083810519385,0,0,55.22654732886089,42,1,98.72200000000001,14,0,0
2,231.805,0,71,0,19.426561112497016,0,0,89.46937661816371,31,0,231.805,14,0,0
0,42.531400000000005,0,5,0,71.40602309564088,0,0,78.86738987016133,33,1,42.531400000000005,14,0,0
0,134.21079999999998,0,30,0,60.75995601235056,0,0,140.39951902339527,54,0,134.21079999999998,14,0,0
1,148.9978,0,61,0,109.61275260267224,0,0,87.3809326382538,10,0,148.9978,14,0,0
0,163.7848,0,3,0,184.184332218402,0,0,120.57284625033812,66,1,163.7848,14,0,0
4,143.083,0,12,0,1.8027702485025103,0,0,171.27173311587896,27,0,80.8,14,1,0
2,98.72200000000001,0,19,0,148.55762607009444,0,0,188.96175492743774,79,1,98.72200000000001,14,0,0
2,92.80720000000001,0,29,0,71.02938261990839,0,0,139.57549782236657,2,1,92.80720000000001,14,0,0
3,143.083,0,14,0,81.86444232100328,0,0,146.29400936669782,16,0,143.083,14,0,0
0,131.2534,0,57,0,153.06616201602603,0,0,159.582572624905,5,1,131.2534,14,0,0
0,199.2736,0,73,0,209.94357196186,0,0,29.099990844726562,70,0,199.2736,14,0,0
0,184.48659999999998,1,67,0,223.72371792929263,0,0,216.58716977283558,46,1,184.48659999999998,14,0,0
0,86.8924,0,50,0,178.2624799582855,0,0,185.6375465647319,57,0,86.8924,14,0,0
3,151.95520000000002,1,49,0,97.88849012764325,0,0,182.8779433458175,61,1,151.95520000000002,14,0,0
1,86.8924,0,12,0,99.51905366102604,0,0,104.84421169526482,21,0,86.8924,14,0,0
1,140.12560000000002,0,81,0,190.489873376452,0,0,256.9135130660495,51,1,140.12560000000002,14,0,0
2,72.10539999999999,0,68,0,1.8846321741386003,0,0,172.33000946044922,77,0,27.6,14,1,0
0,51.403600000000004,0,65,0,1.5809698699323185,0,0,110.26999855042455,56,0,25.7,14,1,0
2,113.50899999999999,0,54,0,129.82302646474747,0,0,197.4142280923546,43,1,113.50899999999999,14,0,0
